File Name,Description
fastrack.remote.txt,"A vulnerability in Netscape FastTrack 2.01a will allow any remote user to execute commands as the user running the httpd daemon (probably nobody). I've only tested the version of Netscape FastTrack that comes with SCO UnixWare 7.1, 2.01a. I'm not sure what other platforms, if any, are vulnerable. Unixware exploit included. By Brock Tellier"
fw1_script.tags.txt,"The ""Strip Script Tags"" feature in Firewall-1 can be circumvented by adding an extra less than sign before the SCRIPT tag. The code will still execute in both Navigator and Explorer. Homepage here. By Arne Vidstrom courtesy of Bugtraq"
gh-plus.c,"Remote exploit for PowerScripts PlusMail (all versions to current). Plusmail is an extremely popular cgi-based administration tool that allows you to remotely administer your website with a graphical control panel interface. The password file, however, is set with permissions rw enabled. All platforms are affected. By Ytcracker"
hotmail.java.txt,"Georgi Guninski security advisory #5 - Yet another Hotmail security hole. Hotmail allows executing JavaScript code in email messages using vascript, which may compromise user's Hotmail mailbox when viewed with Internet Explorer. Includes exploit code. Homepage here. By Georgi Guninski courtesy of Bugtraq"
icq11.htm,OS tested was Windows 2000 and ICQ v99b 1.1.1.1. ICQ is a very popular chat client that is affected by a exploitable buffer overflow when it parses an URL sent by another user. What this means is that arbitary assembly code can be run on the remote machine. Homepage here.
ie5.cross-frame.txt,"Internet Explorer 5.01 under Windows 95 and 5.5 under WinNT 4.0 (suppose other versions are also vulnerable) allows circumventing ""Cross frame security policy"" by accessing the DOM of ""old"" documents using IMG SRC=""javascript:..."" and a design flaw in IE. This exposes the whole DOM of the target document and opens lots of security risks. This allows reading local files, reading files from any host, window spoofing, getting cookies, etc. Demonstration available here. By Georgi Guninski courtesy of Bugtraq"
iis4.webhits.txt,"Cerberus Information Security Advisory (CISADV000126) - Internet Information Server 4.0 ships with an ISAPI application webhits.dll that provides hit-highlighting functionality for Index Server. A vulnerability exists in webhits that allows an attacker to break out of the web virtual root file system and gain unathorized access to other files on the same logical disk drive. This vulnerability can also be used to obtain the source of Active Server Pages or any other server side script file which often contain UserIDs and passwords as well as other sensitive information. Vulnerable systems include Microsoft Windows NT 4 running Internet Information Server 4, all service packs. Microsoft FAQ on this issue is here. Homepage here. By David Litchfield"
iis53.htm,"MS IIS 5.0 has problems handling a specific form of URL ending with ""ida"". The extension ida has been taken from the Bugtraq posting ""IIS revealing webdirectories"" The problem causes 2 kind of results. The one result is that the server responds with a message like ""URL String too long""; ""Cannot find the specified path"" The other error causes the server to terminate with an Access Violation. When the server ""Access violates"" it displays as last message. Homepage here."
iiscat.c,IIScat exploits the recent Microsoft Index Server vulnerability to read any file on the server. By Fredrick Widlund
iMailv5.txt,"On iMail Server 5.0 for Windows NT 4.0 SP 6a, a malicous user can read and send emails as any other user on the system. The issue lies in how iMail handles the creating of new email accounts, and how it stores them. Exploit instructions included. By Simon"
inetserv.htm,InetServ 3.0 (Windows NT) advisory and remote exploit. Homepage here.
javascript.hotmail.t..>,"Hotmail allows executing JavaScript code in email messages using ""@import url(javascript:...)"", which may compromise user's Hotmail mailbox when viewed with Internet Explorer. Includes exploit code. Homepage here. By Georgi Guninski"
krnl110.htm,"Stream.c summary - DoS attack due to bug in many unix kernels, including Linux, Solaris, and all of the BSDs. Homepage here."
mi009en.htm,RESTRICTING A RESTRICTED FTP - How to exploit common misconfigurations in wu-ftpd that allows usersi who may not have permission to login to execute arbitrary code on the FTP server. Homepage here. By Flow
mi019en.htm,A practical vulnerability analysis (How The PcWeek crack was done). Homepage here. By Jfs
mi020.htm,Phorum 3.07 web discussion software contains several remotely exploitable bugs. Exploit descriptions included. By JFs
mi021.htm,w3-msql (miniSQL 2.0.4.1 - 2.0.11) Solaris x86 remote exploit. Distribution of miniSQL packet (http://hughes.com.au) comes with a cgi (w3-msql) that can be xploited to run arbitrary code under httpd uid. Homepage here. By Zhodiac
midikeys.htm,The IRIX setuid root binary midikeys can be used to read any file on the system using its gui interface. It can also be used to edit anyfile on the system. Homepage here.
mix.htm,Microimages X server for Windows allows anyone to kill your session and start an xterm on your machine if they know you are using the software. Homepage here.
mo2.htm,"Microsoft Office Converter Module Overflow - By using a hexadecimal editor to insert specially-malformed information into a document, a malicious user could cause Word to run code of his or her choice when the document was opened using an affected version of the converter. Homepage here."
msadc-trojan.pl,This script will upload a trojan to an RDS vulnerable site running NT and execute the trojan. Homepage here. By Bansh33
mysql.grant.txt,"Anyone with access to a running MySQL and GRANT privilege for any database or table in it, can change any MySQL-password he wishes, including the MySQL superusers. This makes all default-configured MySQL very vulnerable. Homepage here. By Viktor Fougstedt courtesy of Bugtraq"
nortel.htm,"Nortel's new Contivity seris extranet switches give administrators the ability to enable a small HTTP server and use Nortel's web based administration utility to handle configuration and maitenance. The server runs atop the VxWorks operating system and is located in the directory /system/manage. A CGI application, /system/manage/cgi/cgiproc that is used to display the administration html pages does not properly authenticate users prior to processing requests. An intruder can view any file on the switch without logging in. Homepage here."
nscape58.htm,"After executing the testommunicator 4.7 (NT/win2k) vulnerability - After executing the test hyperlink on beavuh.org's page on his client machine, he was able telnet to a remote shell on port 6968 of my client machine. Test your browser at www.beavuh.org. Homepage here."
omnis.txt,"Vulnerabilities in OMNIS, affecting many applications. Omnis is a Rapid Application Development environment which is portable to Win, Mac, and Linux. One of the features that Omnis provides for attaching to the database is the ability to encrypt fields, and obscure them from prying eyes. In actuality, this encryption is extremely weak, and I accidentally discovered the encryption technique and post a detailed explanation of it here. By Eric Stevens"
pamslam.sh,"pamslam - vulnerability in Redhat Linux 6.1 and PAM pam_start. both 'pam' and 'userhelper' (a setuid binary that comes with the 'usermode-1.15' rpm) follow .. paths. Since pam_start calls down to _pam_add_handler(), we can get it to dlopen any file on disk. 'userhelper' being setuid means we can get root. By Dildog"
perloverflow.tar.gz,Possible overflow in perl/kernel/vm (dont know which). Strace included. Appears to cause root owned processes to die if run by a normal user (under linux-2.2.13). By Anarchy
plusmail.c,"PlusMail CGI remote exploit - This posts the form to the victim, reads the data, binds to a port on the local machine, then you open up a browser and go to http://localhost:4040. Homepage here. By Missnglnk"
pm-exploit.c,Plusmail remote exploit - plusmail fails to check authenticity before creating new accounts. Homepage: http://www.synnergy.net. By Headflux
pmtu.htm,"An HP-UX 10.30/11.00 system can be used as an IP traffic amplifier. Small amounts of inbound traffic can result in larger amounts of outbound traffic, using ICMP MTU discovery packets. Homepage here."
procfs4.htm,All flavors of BSD have local root procfs holes. Exploit included. Homepage here.
qib.tgz,QIB - Remote access through Linux LPD. Binds a shell to port 26092. By Dildog
qmail-pop3d-vchkpw.c,"Remote exploit for the inter7 supported vchkpw/vpopmail package for (replacement for chkeckpasswd). Tested on Sol/x86,linux/x86,Fbsd/x86 against linux-2.2.1 and FreeBSD 3.[34]-RELEASE, running vpopmail-3.4.10a/vpopmail-3.4.11[b-e]. Unofficial patch here. Homepage here. By K2"
qpop-exploit-net.c,"A modified version of the original qpopper 3.0beta29 exploit by Zhodiac, added network support (no need for netcat) and allowed the user to specify which command to execute. Homepage here. By Missnglnk"
qpop-xploit.c,"Remote linux x86 exploit for Qpopper 3.0beta29 and below. (not 2.5.3) Overflows the LIST command and spawns a shell with the UID of the user who logged in (requires valid account), and GID mail. Homepage here. By Zhodiac courtesy of Bugtraq"
raq2.admin.exploit.txt,Exploit for Cobalt Raq2 Server. Requires Site Administrator access to one of the accounts on the server. By Skirkham courtesy of Bugtraq
rdisk.htm,There exists a vulnerability in rdisk (Windows NT) which causes the contents of the registry hives to be exposed to Everyone during updating of the repair info. Homepage here.
recover.htm,The 'recover' command in Solstice Backup (Sun's relabeled version of Legato Networker) on a Unix machine authorized to perform restore operations from the backup server can be used to by a normal user to restore any file accessible to the machine in a readable-to-them state (although it cannot be used to overwrite system files). This can be used to get your own copy of /etc/shadow for password cracking purposes. Homepage here.
rightfax.txt,RightFax Web Client v5.2 allows anyone to hijack user's faxes. By Et Lownoise courtesy of Bugtraq
rtf.htm,"RTF files consist of text and control information. The control information is specified via directives called control words. The default RTF reader that ships as part of many Windows platforms has an unchecked buffer in the portion of the reader that parses control words. If an RTF file contains a specially-malformed control word, it could cause the application to crash. Homepage here."
skey.htm,w00w00 Security Advisory - S/Key & OPIE Database Vulnerability affecting most Unixes (not NetBSD) running skey-2.2. (possibly earlier versions too) allowing offline password cracking. Homepage here. By Harikiri
skrypt.sh,Wu-ftpd 2.4 remote root exploit for SuSE. Tested on SuSE 6.0 running Wu-ftpd 2.4.2-beta18.
sms.htm,"SMS 2.0 Remote Control (for Windows NT) introduces a security risk that will allow the attacker to run programs in system context, due to the fact that the executable used for the remote control service is copied to the workstation without any special permission settings to prevent a user from replacing the executable. Homepage here."
smtp2.htm,"USSR Labs found following. A memory leak exists in the Super Mail Transfer Package that may cause an NT host to stop functioning and/or need to be rebooted. The memory leak may occur when you connect to the SMTP port, all information you send to the system will be stored in memory, and SMTP support multiples HELO/ MAIL FROM/ RCPT TO / DATA in the same connection. If you did multiple HELO/ MAIL FROM/ RCPT TO / DATA in the same connection the memory may not be deallocated. This condition may cause the computer to stop functioning the moment memory runs out. Homepage here."
solinger.c,"""solinger"" Denial Of Service - bind 8.1.*, 8.2, 8.2.1 - causes a bind8 server to stop responding to requests for up to 120 seconds. Quick proof of concept of the bug pointed out by ISC. Homepage here. By Mixter"
spank.txt,"Explanation of the 'spank' attack - a new breed stream/raped. Stream/Raped mearly flooded the host with ack's (or no flags) and came from random ips with random sequence numbers and/or ack numbers. The difference now is that this not only does the previous stuff, but also directly attacks from and to multicast addresses as well. By Tim Yardley"
subseven.htm,"There is a buffer overflow in Subseven 2.1a causing it to quit quietly, crash, or overwrite variables. Homepage here."
supermail.nt.txt,A memory leak exists in the Super Mail Transfer Package for Windows NT that may cause an NT host to stop functioning and/or need to be rebooted. DoS exploit description included. By Underground Security Systems Research
tb2.htm,"Timbuktu Pro 32 (TB2) from Netopia sends user IDs and passwords in clear text. When TB2 is used to remote control a machine that is not logged in or is locked, any user ID and password that is typed in is sent in clear text. A malicious user on the network can ""sniff"" the packets and gain the NT User IDs and passwords of any one using TB2 to remotely control a NT machine. Homepage here."
update.htm,"orel Linux comes with a program called ""Corel Update"" to manage the "".deb"" files. This X oriented program is setuid root. The program is ""get_it"" and it's located in the /usr/X11R6/bin directory. If you can run it, it's easy to get root privileges in your system. Homepage here."
userrooter.sh,RedHat PAM/userhelper(8) exploit. By S
uw-ppptalk.c,UnixWare 7 exploit for /usr/bin/ppptalk. By K2
vcasel.htm,"Vcasel (Visual Casel) is apparently intended as some sort of addon to Novell Netware 3.X and above. The program does succeed in limiting the names of the files executed, but there is no path verification. Homepage here."
vi.htm,"Vi uses /tmp insecurely on OpenBSD, FreeBSD and Debian. This has been fixed in FreeBSD 2.2-STABLE, 3.4-STABLE and 4.0-CURRENT (04.01.2000). Homepage here."
vmware.htm,"w00w00 Security Advisory - Linux VMware 1.1.2 Symlink Vulnerability. VMware stores temporary log files within the /tmp directory. It does not check whether all of these files exist prior to creation, resulting in the potential for a symlink attack. Homepage here. By Harikiri"
vpopmail.txt,"w00w00 Security Advisory - qmail-pop3d may pass an overly long command argument to it's password authentication service. When vpopmail is used to authenticate user information a remote attacker may compromise the privilege level that vpopmail is running, naturally root. Homepage here. By K2"
vwall3.htm,"By sending an SMTP message with a malformed attachment, it is possible for malicious code to avoid detection by Trend Micro's InterScan SMTP scanner version 3.0.1 for Solaris. Other versions may be affected as well, but were not tested. Homepage here."
warftp.txt,All versions of War-ftpd have serious security issues. The current release has some serious problems with the parsing of macros which can be exploited without even logging in. By Sir Dystic courtesy of Bugtraq
website.htm,"WebSite Pro is also revealing the webdirectory of each Website by a simple command line. This bug is similar to the ""IIS revealing webdirectories"" bug reported. On WebSitePro the diference ist the way you retrieve the path. Homepage here."
winamp.win98.txt,A stack based buffer overflow in Winamp 2.10 for Win 98 has been found. The attack is carried out through .pls files which winamp uses for playlists. This is unnerving as it is a feasible plan to trade playlists on irc during a mp3 trading session with someone. Exploit code included. Homepage here. By here.
yahoo2.htm,"Jaynus Jaynus found following. He read over the ICQ overflow that had been found so he was curious if this existed in any other clients. Upon testing the below URL, yahoo pager/messenger crashed in the same was as ICQ. Homepage here."
95replay.txt,"Windows 95/98 Network File Sharing Security Hole - Sniffed authentications can be used to impersonate network users and establish valid connections, giving a malicious attacker the opportunity to easily read and write files from/to Win95/98 machines.  By weld.  Check out L0pht Heavy Industries for the tools needed."
9x_cgi.zip,9x CGI-BIN bug finder scans for cgi-bin exploits.  By 9x.
CGIc-DoS.txt,CGIc Library is vulnerable to buffer overflow allowing remote attacker to get root access.
Cgichk2.c,"A simple CGI scanner with debug and exploit download features IF any CGI holes are found.  By CKS, of ech0 Security."
GetadmforSops.txt,Default permissions on Registry key creates a getadmin hole - security hole in the winlogon registry key on NT 4 (with all SPs) allows elevation of privileges to both local and global Administrator level.  Local root compromise.  VC++ exploit code included.  By David Litchfield.
InfernoJJF.txt,A denial of service problem has been found in Inferno 2.0. A program written in Limbo can produce a denial of service consuming all the memory of the computer. The Inferno's commands to prevent this DoS are not able to stop this attack.  (Advisory in Spanish).  By J.J.F..
InfernoJJFen.txt,
PADLOCK.txt,"PADLOCK-IT v1.01 contains numerous security holes and improperly manages passwords, making for a very unsecure implementation of the Twofish encryption algorithm.  By Efrain `ET` Torres."
SAFER+attack.txt,"Two academic attacks on the key schedules of block ciphers on the SAFER+ algorithm version with 256-bit keys, demonstrating a fundamental weakness in the SAFER+ key schedule design."
SDI-msql.tar.gz,"Exploit code - Sekure SDI Advisory: mSQL Remote Bug - mSQL v1.x-2.x are vulnerable to several different remote attacks, with possibility of executing arbitrary commands and Denial of Service.  Remote root compromise possible in some versions.  By Secure Coding Sekure SDI Group.  Sekure-mSQL patches available at Secure Codi"
Sucker-0.1.tar.gz,Sucker v0.1 - Sucker (Super Cracker) Shell Interactive Script: Tool to check for exploits and bugs in a TCP/IP Based Network.  By Nelson R A Brito.
against.c,Sendmail 8.9.2 Denial of Service exploit code.
arptool.c,"ARPtool has basically two functions: 1) it maps all the ip's on the same ethernet cable segment/LAN as the machine it runs on, which is useful to determine the hosts that could be victim of sniffing, hijacking, etc.  2) a general ARP generator function, for sending customized ARP packets, which can be used for spoofing hos"
ath0-2.sh,"Another script that exploits and/or patches Unix boxes using modems susceptible to the ""+++ATH0"" modem-based DoS attack as described here.  By Nelson R A Brito."
automountd.tar.gz,"SUN Solaris 2.5, 2.5.1, 2.6, 2.7 (X86 and SPARC architectures) Automountd vulnerability - remote exploit of automountd with updated code that allows malicious remote user to execute ANY program on any default installation of SUN.  Incorporation of new rpc.statd into exploit code allows remote user to utilize the TLI protoc"
avoid.exe,Program to test the MS IIS 4 logging avoidance bug: ms-iis4-avoid-log.txt.  By David Litchfield.
backweb-spoof.txt,"Vulnerability in the BackWeb Polite Agent Protocol allows malicious attacker to ""spoof"" BackWeb server."
balu.pl,mIRC 5.5 'DCC Server' hole Exploit Code - mIRC 5.5 new dcc server feature doesn't filter metachars(such as . and \) from sent filenames. This script fakes the sending of a harmless file and then puts malicious file in a wanted destination dir on the same harddrive (autostart dir is a good choice).
bandwidthrape.txt,"Description of simple, working exploit that causes selected remote server to consume massive amounts of bandwidth.  By CYB0RG/ASM, of hackcanada.com."
beace.tar.gz,"beace - socks 5 irc clone loader that loads a variable number of clones through different socks servers onto different irc servers, then executes a predefined script.  It also hides the hostmask from lame mirc users using color codes."
bigfoot-bellsouth-we..>,Bigfoot/Bellsouth Webmail bug allows malicious users to exploit cached pages to access accounts of other users.
cgiscan.c,"Cgi Scanner v1.4 - Scan remote web servers for all commonly known and potentially exploitable CGI scripts.  Some scripts are better (coded, designed, optimized, complete) than others, and this is one of those better scripts.  By Bronc Buster of LoU."
cisco-ios-DoS.alert...>,"Cisco Security Notice: Cisco IOS Syslog Crash - Certain versions of Cisco IOS software may crash or hang when they receive invalid user datagram protocol (UDP) packets sent to their ""syslog"" ports (port 514), from tools such as the latest nmap scanner.  This severe DoS attack can completely shut down Cisco IOS products and"
cisco-ios-identifica..>,Details about how easy it is to remotely identify Cisco products running IOS code.  By JoeJ & The Rhino9 Research Team.
compulink-laserfiche..>,
controlIT.txt,"Multiple vulnerabilities in ControlIT(tm) (formerly Remotely Possible/32) enterprise management software versions 4.5 and earlier.  Local root compromise, Denial of Service attack."
cop-01.txt,Description of the Sun 2.x automountd/rpc.statd exploit remote program execution exploit.
cuartangojc-clipboar..>,MSIE 4 Privacy Issue: clipboard content can be made public by a javascript code two lines long.  Exploit code included.  By Juan Carlos Garcia Cuartango.
deflagrate-0.2b.tar...>,"Denial of Service client/server that exploits PPP flaws with the PPP byte stuffing technique demonstrated by stuffit.c, but now with convenient spoofing option.  By b00ger."
digital-unix-4.0-bof..>,Numerous Digital Unix 4.0 exploitable buffer overflows introduced with new executable stack in 4.0 versions.
digital-unix4.0-asm-..>,"ASM shellcode exploit, with good explanation, for Digital Unix 4.0 buffer overflow, resulting in local root compromise.  By Seth McGann."
dpec-course-passwds...>,DPEC's (www.dpec.com) Online Courseware has a nasty bug in it that allows anyone to change anyone elses password without knowing what their current password is (including admin accounts!).
either.exe,"As a followup to the ""Cloning MAC Addresses"" Whitepaper by Kingpin, of L0pht Heavy Industries, we have a program designed to ease the modification of MAC addresses in Windows environments."
elf-pv.txt,An article on UNIX ELF PARASITES AND VIRUSES including a fully working parasite infector and binary virus for Linux (UNIX portable however).  The parasites and virus described and given do not destroy the executeables functionality but instead as with many DOS viruses simply append new code to the image.  Rudimentary techn
eugenics.pl,"eugenics.pl v0.9.9 - eugenics is a complex wrapper to normal win95/nt DoS attacks - it runs flip, frag, land, jolt, boink, teardrop, newtear, ssping, and whatever else you feel the desire to add.  By nuke, of tekniq.net."
ff.core.sh,ff.core local root exploit for Solaris 2.5.1 and 2.6.
foolproof-bypass.txt,"FoolProof found to be full of security glitches.  This info is by no means new or unknown, but this file summarizes many of the known exploits and loopholes very well.  Snarfed from SecuriTeam.com."
fspike1.zip,"Force Spike sends data to www.shoutcast.com's server to make it think that you're running a ShoutCast server (for use with broadcasting MP3's live... it's pretty cool).  You can create your own fake server, and change information like the current number of listeners, etc.  You'll then see this info at http://yp.shoutcast.c"
ftp-spoof.pl,"ftp-spoof.pl v0.01 - Local FTP server spoofer: Many FTP clients these days have a text file called (program-name).ini which will store the info like site-name, user-name, encrypted password and account-name.  Instead of trying to decrypt the password for each different application (ws_ftp etc) do this:  edit the (program-n"
ftp-spoof.zip,ftp-spoof.zip v0.01 - Zipped version of the above perl script.  By ManicX.
ftpwatch.txt,Major security problems in Debian distributions (1.3 and later) of the ftpwatch package allow simple root access.
hack_wsftp.txt,"ws_ftp security design weaknesses allow malicious cracker to take advantage of cached passwords with weak encryption.  Remote root compromise possible.  By Netherpunk, Anarchist Rampage Inc.."
http-request_method...>,HTTP REQUEST_METHOD flaw allows for stealth and/or spoofed attacks on web servers.
icq-hidden-files.txt,Poor ICQ design allows remote attacker to stealthily send executable files to unknowing victim.
ie0199.exe-trojan.tx..>,
iis-ftp-exploit-DoS...>,IIS FTP Exploit/DoS Attack - Buffer Overflow in 3.0 and 4.0 versions of IIS results in Denial of Service attacks and possibility of remote execution of code.  From eEye Digital Security Team.
iis4.0+visual-interd..>,"Using Visual Interdev 6.0, remote attacker can connect to IIS 4.0 Servers without being asked for any security passwords, and make changes to remote server files without being logged at all."
iomega-onestep-backu..>,"Iomega One-Step Backup software ""security tab"" uses VERY weak encryption."
killport.c,Exploit code for Linux 2.0.36 - local port/memory DoS attack.
l0pht-watch.tar.gz,"A tool designed to monitor directory activity, copy transient files based upon regular expression matching, syslog upon seeing links created, etc. etc.  By mudge@l0pht.com."
linux-2.2.0-DoS.txt,"Bug in Linux 2.2.0 kernel allows any local user to execute a Denial of Service attack, forcing system reboot."
livingston-PM3-DoS.t..>,Livingston PM3 DoS attack.
lotus-notes-smtp-DoS..>,Denial of Service attack exists in Lotus Notes SMTP Server.
lpstat.x86.c,"lpstat Exploit code for Solaris 2.6/2.7 X86 versions, resulting in local root compromise.  By plasmoid deep/thc/clb."
mSQL-DoS.txt,"Sekure SDI Advisory: mSQL Remote Bug - mSQL v1.x-2.x are vulnerable to several different remote attacks, with possibility of executing arbitrary commands and Denial of Service.  Remote root compromise possible in some versions.  By Secure Coding Sekure SDI Group.  Sekure-mSQL patches available at Secure Coding Sekure SDI G"
mirc-hidden-files.tx..>,"Security hole similar to the ICQ ""hidden file"" exploit mentioned here on Jan 1, 1999, but affecting mIRC clients."
mother2.sh,"A small script which finds all setuid and setgid programs.  Script is modified by syg @ EFnet, based on program from Linux Journal 56."
ms-excel-numbers.txt,Microsoft Excel bug - numerical filenames saved in comma delimited format get munged.
ms-iis4-avoid-log.tx..>,IIS 4 Request Logging Security Advisory - Combination of problems with Microsoft IIS 4 servers allow successful HTTP requests to go unlogged.  By David Litchfield.
ms-iis4-siteserver2...>,
ms-personal-webserve..>,Microsoft Personal Web Server contains security hole that allows remote attacker to list root directory and download any files desired.
msie-4-5.outlook+wor..>,"MSIE 4, 5, Outlook and MS Word 97 security hole allows remote attacker to run hostile VBA (Visual Basic for Applications) programs on your PC or workstation without your having to click on any links or download anything.  Simply VIEWING a hostile web page can leave you completely vulnerable to trojans, viruses, file deleti"
msie4-autoexec.bat-t..>,
msie4-persistent-con..>,"IE4 Persistent Connection Bug - Microsoft Internet Explorer 4.0 ignores certain HTTP/1.0 instructions, manifested when using proxy connections, and consequently leaves MSIE users open to various attacks."
msie4.01-jscript-sec..>,"Javascript security bug in Internet Explorer 4.01 (patched), circumvents ""Cross-frame security"" and opens several security holes.  By Georgi Guninski."
msie4.01-window-spoo..>,"Bug in Internet Explorer 4.01 (patched) allows ""window spoofing"".  Example exploit code included.  By Georgi Guninski."
msie4.x-readfile.txt,Bug in Internet Explorer 4.x (patched) allows reading of local files and sending them to an arbitrary server.  Example exploit code included.  By Georgi Guninski.
nmap-MS-winnt-telnet..>,Denial of Service attack can be easily launched against Windows NT telnetd with a simple nmap -sS tcp SYN stealth port scan.
novell-iwc-DoS.txt,"Novell Intranetware Client 3.0.0.0 Denial of Service vulnerability - can use ""nmap -sS -p427 target.com"" command on SLP Request service on TCP port 427 for immediate BSOD (Blue Screen Of Death)."
nt4-ole-clipboard-pa..>,
oracle-8-NERP-DoS.tx..>,"""NERP"" DoS attack possible in Oracle 8.x for wide variety of platforms."
oracle8-tnslsnr-DoS...>,"Oracle8 TNSLSNR Denial of Service attack, with updated listing of the numerous versions affected."
oshare_1_gou.c,Exploit code to crash (BSOD) Windows98 machines with malformed packets.  By R00t Zer0.
page.c,
page.sh,UNIX shell script version of the FrontPage _vti_pvt/service.pwd exploit.  By Patrick (thanks for the corrections in code and for setting a few matters straight).
pop-spoof.pl,pop-spoof.pl v0.01 - Local POP3 spoofer: Most email clients these days have the ability to cache passwords and other details (Netscape users look at pref.js explorer registry).  Spoof a pop server and edit the prefs.js or registry to try and check 127.0.0.1 and run this Perl script to get the passwords in clear text.  By M
pop-spoof.zip,pop-spoof.zip v0.01 - Zipped version of the above perl script.  By ManicX.
ps.s,ANTI-prym/h4g1s portshell code - bind a shell to port 46256 (0xb4b0 =)).  Only 135 bytes!  By jsbach.
qmail-DoS-anonymous...>,A variety of  anonymous Qmail Denial of Service attacks described.
qmail-DoS.txt,Anonymous Qmail Denial of Service - lack of guaranteed user identification can result in malicious DoS attack by unidentifiable local user in which queue file system runs out of available resources.
quake2-bof-DoS.txt,Yet another Quake2 buffer overflow remote Denial of Service attack discovered.
quake2-more-bof.txt,"More Quake2 buffer overflows, security holes, Denial of Service attacks, and other nuisances."
quakenbush-nt-passwo..>,"Quakenbush Windows NT Password Appraiser software sends users password hashes and even plaintext passwords out through the Internet, regardless of firewall rules.  By mudge, L0pht Heavy Industries."
resetter21.c,A utility written by Stok that resets all connections on a network segment by sending spoofed RST and ICMP UNREACHABLE packets.  From The c5 Project.
rpcbind.txt,
runtime-kernel-kmem-..>,"Demonstration and proof of the concept that access to kernel memory is of great use to a system attacker.  Source code, examples included, along with implementation of 'kinsmod', an insmod using the kmem device, _not_ using native LKM support.  (includes LONG rant at beginning by author).  By Silvio Cesare."
sendmail-8.8.x-8.9.x..>,"Bugs and Denial of Service attacks in Sendmail 8.8.x/8.9.x (including Sendmail 8.9.2) described, and patch included."
shell-modem-access.t..>,
smurf.BIP-hunting-nm..>,Fyodor explains how to use nmap to quickly locate smurf amplifiers.
solaris-lpstat-bof.t..>,"Buffer overflow in Solaris 2.6, 2.7 /usr/bin/lpstat allows root compromise.  By HERT."
sscan.tar.gz,"sscan v0.1a - The son of mscan is here!  Much more powerful though, sscan has been created with self-replication (integration into internet worms), configurability, and expandibility in mind.  A built in scripting language allows anyone with *no* programming knowledge to add vulnerability checks in a matter of seconds.  OS"
sshd-1.x-2.x-login.t..>,"SSH 1.x and 2.x Daemon bug allows users with expired accounts to log in via ssh, even when access has been denied to other services, such as telnet and ftp."
sshdwarez.c,
suguard.txt,"suGuard v1.0 from DataLynx has numerous severe security weaknesses, allowing any user configured under suGuard to execute any command as root.  Exploit code included."
sun-encryption-weak...>,Solaris 7 uses very weak encryption algorithm for desktop file encryption option.
tcp_wrappers-CERT.tx..>,"CERT Advisory CA-99-01-Trojan-TCP-Wrappers - Copies of the source code for the TCP Wrappers tool (tcpd) were modified by an intruder and contain a Trojan horse.  CERT notes that ""A number of FTP servers"" had the trojan version of this program available for download.  This is your wake-up call to verify all mission critical"
tcpwrapper-backdoor...>,"Backdoored TCP Wrapper source code discovered.  Although only 52 people downloaded this code from ftp.win.tue.nl (all have been notified), this notice serves as an excellent reminder that you should ALWAYS verify the PGP and file signatures of ANY software that you download.  The backdoor exploit code is included in this f"
tellme.0.1-2.tar.gz,"Retrieves netbios name from remote Windog (as described in Hobbit's document cifs.txt).  Several bugfixes in this release, including timeouts.  By CyberPsychotic."
